"date","exp_id","dataset","profile","niter","burnin","inner_steps","sigma_px_steps","mean_acceptance","mean_r2","mean_rmse","precision","decision","log_path","progress_path","checkpoint_path","sampler_mode"
"2026-04-21","EXP-GCVS-SYNTHETIC-SMOKE-DIAGCHECK-20260421","synthetic","smoke",30,15,8,NA,0.543854,0.888903,1.866134,0.280702,"INCONCLUSIVE","/Users/diren/Documents/GC_MTL_repo_https/logs/iteration_logs/20260421__EXP-GCVS-SYNTHETIC-SMOKE-DIAGCHECK-20260421.md","","",""
"2026-04-21","EXP-CHECKPOINT-SMOKE-20260421","synthetic","smoke",6,3,8,NA,0.586979,0.4807,5.811702,0.184049,"INCONCLUSIVE","/Users/diren/Documents/GC_MTL_repo_https/logs/iteration_logs/20260421__EXP-CHECKPOINT-SMOKE-20260421.md","/Users/diren/Documents/GC_MTL_repo_https/results/experiments/EXP-CHECKPOINT-SMOKE-20260421/progress.json","/Users/diren/Documents/GC_MTL_repo_https/results/experiments/EXP-CHECKPOINT-SMOKE-20260421/checkpoints/checkpoint_latest.rds",""
"2026-04-21","EXP-GCVS-SYNTHETIC-SMOKE-WARMSTART-CHECK","synthetic","smoke",30,15,8,NA,0.560417,0.902523,1.808074,0.305994,"INCONCLUSIVE","/Users/diren/Documents/GC_MTL_repo_https/logs/iteration_logs/20260421__EXP-GCVS-SYNTHETIC-SMOKE-WARMSTART-CHECK.md","/Users/diren/Documents/GC_MTL_repo_https/results/experiments/EXP-GCVS-SYNTHETIC-SMOKE-WARMSTART-CHECK/progress.json","/Users/diren/Documents/GC_MTL_repo_https/results/experiments/EXP-GCVS-SYNTHETIC-SMOKE-WARMSTART-CHECK/checkpoints/checkpoint_latest.rds",""
"2026-04-21","EXP-GCVS-SYNTHETIC-SMOKE-EXACTWARMSTART-CHECK","synthetic","smoke",30,15,8,NA,0.579948,0.857945,1.930241,0.287425,"INCONCLUSIVE","/Users/diren/Documents/GC_MTL_repo_https/logs/iteration_logs/20260421__EXP-GCVS-SYNTHETIC-SMOKE-EXACTWARMSTART-CHECK.md","/Users/diren/Documents/GC_MTL_repo_https/results/experiments/EXP-GCVS-SYNTHETIC-SMOKE-EXACTWARMSTART-CHECK/progress.json","/Users/diren/Documents/GC_MTL_repo_https/results/experiments/EXP-GCVS-SYNTHETIC-SMOKE-EXACTWARMSTART-CHECK/checkpoints/checkpoint_latest.rds",""
"2026-04-21","EXP-GCVS-SYNTHETIC-PAPER-DIAG-20260421","synthetic","paper",300,150,40,NA,0.612959,0.90124,1.742125,0.274854,"PASS","/Users/diren/Documents/GC_MTL_repo_https/logs/iteration_logs/20260421__EXP-GCVS-SYNTHETIC-PAPER-DIAG-20260421.md","/Users/diren/Documents/GC_MTL_repo_https/results/experiments/EXP-GCVS-SYNTHETIC-PAPER-DIAG-20260421/progress.json","/Users/diren/Documents/GC_MTL_repo_https/results/experiments/EXP-GCVS-SYNTHETIC-PAPER-DIAG-20260421/checkpoints/checkpoint_latest.rds",""
"2026-04-21","EXP-GCVS-SYNTHETIC-SMOKE-SIGMAPX5-20260421","synthetic","smoke",30,15,8,5,0.562083,0.846885,2.176917,0.270833,"INCONCLUSIVE","/Users/diren/Documents/GC_MTL_repo_https/logs/iteration_logs/20260421__EXP-GCVS-SYNTHETIC-SMOKE-SIGMAPX5-20260421.md","/Users/diren/Documents/GC_MTL_repo_https/results/experiments/EXP-GCVS-SYNTHETIC-SMOKE-SIGMAPX5-20260421/progress.json","/Users/diren/Documents/GC_MTL_repo_https/results/experiments/EXP-GCVS-SYNTHETIC-SMOKE-SIGMAPX5-20260421/checkpoints/checkpoint_latest.rds",""
"2026-04-21","EXP-GCVS-SYNTHETIC-SMOKE-SIGMAINIT-20260421","synthetic","smoke",30,15,8,1,0.556094,0.882514,2.099525,0.287582,"INCONCLUSIVE","/Users/diren/Documents/GC_MTL_repo_https/logs/iteration_logs/20260421__EXP-GCVS-SYNTHETIC-SMOKE-SIGMAINIT-20260421.md","/Users/diren/Documents/GC_MTL_repo_https/results/experiments/EXP-GCVS-SYNTHETIC-SMOKE-SIGMAINIT-20260421/progress.json","/Users/diren/Documents/GC_MTL_repo_https/results/experiments/EXP-GCVS-SYNTHETIC-SMOKE-SIGMAINIT-20260421/checkpoints/checkpoint_latest.rds",""
"2026-04-21","EXP-GCVS-SARCOS-SMOKE-STABLE","sarcos","smoke",30,15,8,1,0.565152,0.879203,2.626249,NA,"INCONCLUSIVE","/Users/diren/Documents/GC_MTL_repo_https/logs/iteration_logs/20260421__EXP-GCVS-SARCOS-SMOKE-STABLE.md","/Users/diren/Documents/GC_MTL_repo_https/results/experiments/EXP-GCVS-SARCOS-SMOKE-STABLE/progress.json","/Users/diren/Documents/GC_MTL_repo_https/results/experiments/EXP-GCVS-SARCOS-SMOKE-STABLE/checkpoints/checkpoint_latest.rds",""
"2026-04-21","EXP-GCVS-SARCOS-SMOKE-20260421","sarcos","smoke",30,15,8,1,0.565152,0.879203,2.626249,NA,"INCONCLUSIVE","/Users/diren/Documents/GC_MTL_repo_https/logs/iteration_logs/20260421__EXP-GCVS-SARCOS-SMOKE-20260421.md","/Users/diren/Documents/GC_MTL_repo_https/results/experiments/EXP-GCVS-SARCOS-SMOKE-20260421/progress.json","/Users/diren/Documents/GC_MTL_repo_https/results/experiments/EXP-GCVS-SARCOS-SMOKE-20260421/checkpoints/checkpoint_latest.rds",""
"2026-04-21","EXP-NORESTART-SMOKE-20260421","synthetic","smoke",2,1,2,1,0.528125,0.443753,21.223835,0.174664,"INCONCLUSIVE","/Users/diren/Documents/GC_MTL_repo_https/logs/iteration_logs/20260421__EXP-NORESTART-SMOKE-20260421.md","/Users/diren/Documents/GC_MTL_repo_https/results/experiments/EXP-NORESTART-SMOKE-20260421/progress.json","/Users/diren/Documents/GC_MTL_repo_https/results/experiments/EXP-NORESTART-SMOKE-20260421/checkpoints/checkpoint_latest.rds",""
