"date","exp_id","dataset","M1_rule","M2_rule","theta_mean","theta_peaks","theta_ess","M_mean","decision","pdf_path","report_path","meta_path","report_id","report_type","experiment_id","profile","html_path"
"2026-04-21","","synthetic","GDP(alpha=3,eta=1)","full-MMALA(L=8,target=0.7)","3.1443","3.5561","14.4251","0.0199","INCONCLUSIVE","","results/experiments/EXP-GCVS-SYNTHETIC-SMOKE-DIAGCHECK-20260421/experiment_report.md","results/reports/meta/20260421__EXP-GCVS-SYNTHETIC-SMOKE-DIAGCHECK-20260421__SYNTHETIC__GDP-a3-eta1__FULL-MMALA__INCONCLUSIVE.json","EXP-GCVS-SYNTHETIC-SMOKE-DIAGCHECK-20260421","experiment","EXP-GCVS-SYNTHETIC-SMOKE-DIAGCHECK-20260421","",""
"2026-04-21","","synthetic","GDP(alpha=3,eta=1)","full-MMALA(L=8,target=0.7)","1.8139","2.567","3","0.0154","INCONCLUSIVE","","results/experiments/EXP-CHECKPOINT-SMOKE-20260421/experiment_report.md","results/reports/meta/20260421__EXP-CHECKPOINT-SMOKE-20260421__SYNTHETIC__GDP-a3-eta1__FULL-MMALA__INCONCLUSIVE.json","EXP-CHECKPOINT-SMOKE-20260421","experiment","EXP-CHECKPOINT-SMOKE-20260421","",""
"2026-04-21","","synthetic","GDP(alpha=3,eta=1)","full-MMALA(L=8,target=0.7)","1.8392","3.8682","2.9277","-0.0197","INCONCLUSIVE","","results/experiments/EXP-GCVS-SYNTHETIC-SMOKE-WARMSTART-CHECK/experiment_report.md","results/reports/meta/20260421__EXP-GCVS-SYNTHETIC-SMOKE-WARMSTART-CHECK__SYNTHETIC__GDP-a3-eta1__FULL-MMALA__INCONCLUSIVE.json","EXP-GCVS-SYNTHETIC-SMOKE-WARMSTART-CHECK","experiment","EXP-GCVS-SYNTHETIC-SMOKE-WARMSTART-CHECK","",""
"2026-04-21","","synthetic","GDP(alpha=3,eta=1)","full-MMALA(L=8,target=0.7)","2.2839","4.5773","3.3176","0.0649","INCONCLUSIVE","","results/experiments/EXP-GCVS-SYNTHETIC-SMOKE-EXACTWARMSTART-CHECK/experiment_report.md","results/reports/meta/20260421__EXP-GCVS-SYNTHETIC-SMOKE-EXACTWARMSTART-CHECK__SYNTHETIC__GDP-a3-eta1__FULL-MMALA__INCONCLUSIVE.json","EXP-GCVS-SYNTHETIC-SMOKE-EXACTWARMSTART-CHECK","experiment","EXP-GCVS-SYNTHETIC-SMOKE-EXACTWARMSTART-CHECK","",""
"2026-04-21","","synthetic","GDP(alpha=3,eta=1)","full-MMALA(L=40,target=0.7)","2.8093","3.1213","97.9794","-0.0225","PASS","","results/experiments/EXP-GCVS-SYNTHETIC-PAPER-DIAG-20260421/experiment_report.md","results/reports/meta/20260421__EXP-GCVS-SYNTHETIC-PAPER-DIAG-20260421__SYNTHETIC__GDP-a3-eta1__FULL-MMALA__PASS.json","EXP-GCVS-SYNTHETIC-PAPER-DIAG-20260421","experiment","EXP-GCVS-SYNTHETIC-PAPER-DIAG-20260421","",""
"2026-04-21","","synthetic","GDP(alpha=3,eta=1)","full-MMALA(L=8,target=0.7,SigmaPX=5)","2.7145","4.0164","3.5654","0.0983","INCONCLUSIVE","","results/experiments/EXP-GCVS-SYNTHETIC-SMOKE-SIGMAPX5-20260421/experiment_report.md","results/reports/meta/20260421__EXP-GCVS-SYNTHETIC-SMOKE-SIGMAPX5-20260421__SYNTHETIC__GDP-a3-eta1__FULL-MMALA__INCONCLUSIVE.json","EXP-GCVS-SYNTHETIC-SMOKE-SIGMAPX5-20260421","experiment","EXP-GCVS-SYNTHETIC-SMOKE-SIGMAPX5-20260421","",""
"2026-04-21","","synthetic","GDP(alpha=3,eta=1)","full-MMALA(L=8,target=0.7,SigmaPX=1)","2.5522","3.988","4.749","0.055","INCONCLUSIVE","","results/experiments/EXP-GCVS-SYNTHETIC-SMOKE-SIGMAINIT-20260421/experiment_report.md","results/reports/meta/20260421__EXP-GCVS-SYNTHETIC-SMOKE-SIGMAINIT-20260421__SYNTHETIC__GDP-a3-eta1__FULL-MMALA__INCONCLUSIVE.json","EXP-GCVS-SYNTHETIC-SMOKE-SIGMAINIT-20260421","experiment","EXP-GCVS-SYNTHETIC-SMOKE-SIGMAINIT-20260421","",""
"2026-04-21","","sarcos","GDP(alpha=3,eta=1)","full-MMALA(L=8,target=0.7,SigmaPX=1)","2.9575","4.2589","3.8587","0.0667","INCONCLUSIVE","","results/experiments/EXP-GCVS-SARCOS-SMOKE-STABLE/experiment_report.md","results/reports/meta/20260421__EXP-GCVS-SARCOS-SMOKE-STABLE__SARCOS__GDP-a3-eta1__FULL-MMALA__INCONCLUSIVE.json","EXP-GCVS-SARCOS-SMOKE-STABLE","experiment","EXP-GCVS-SARCOS-SMOKE-STABLE","",""
"2026-04-21","","manuscript","theory-benchmark","conditional-transfer",NA,NA,NA,NA,"PASS","results/reports/pdf/20260421__CP4-THEORY-FIX__MANUSCRIPT__THEORY-REVIEW__PASS.pdf","results/reports/artifacts/20260421__CP4-THEORY-FIX__MANUSCRIPT__THEORY-REVIEW__PASS/report.md","results/reports/meta/20260421__CP4-THEORY-FIX__MANUSCRIPT__THEORY-REVIEW__PASS.json","CP4-THEORY-FIX-20260421","manuscript","CP4-THEORY-FIX-20260421","",""
"2026-04-21","","sarcos","GDP(alpha=3,eta=1)","full-MMALA(L=8,target=0.7,SigmaPX=1)","2.9575","4.2589","3.8587","0.0667","INCONCLUSIVE","","results/experiments/EXP-GCVS-SARCOS-SMOKE-20260421/experiment_report.md","results/reports/meta/20260421__EXP-GCVS-SARCOS-SMOKE-20260421__SARCOS__GDP-a3-eta1__FULL-MMALA__INCONCLUSIVE.json","EXP-GCVS-SARCOS-SMOKE-20260421","experiment","EXP-GCVS-SARCOS-SMOKE-20260421","",""
"2026-04-21","","synthetic","GDP(alpha=3,eta=1)","full-MMALA(L=2,target=0.7,SigmaPX=1)","2.4275","5.4216",NA,"0.1014","INCONCLUSIVE","","results/experiments/EXP-NORESTART-SMOKE-20260421/experiment_report.md","results/reports/meta/20260421__EXP-NORESTART-SMOKE-20260421__SYNTHETIC__GDP-a3-eta1__FULL-MMALA__INCONCLUSIVE.json","EXP-NORESTART-SMOKE-20260421","experiment","EXP-NORESTART-SMOKE-20260421","",""
"2026-04-21","","synthetic","GDP(alpha=3,eta=1)","two-phase-MMALA(L=4,target=0.7,adapt=burnin,fixed=post,SigmaPX=1)","2.8769","8.9809",NA,"0.0619","INCONCLUSIVE","","results/experiments/EXP-TWOPHASE-LAMBDA-SMOKE-20260421/experiment_report.md","results/reports/meta/20260421__EXP-TWOPHASE-LAMBDA-SMOKE-20260421__SYNTHETIC__GDP-a3-eta1__FULL-MMALA__INCONCLUSIVE.json","EXP-TWOPHASE-LAMBDA-SMOKE-20260421","experiment","EXP-TWOPHASE-LAMBDA-SMOKE-20260421","",""
"2026-04-21","","synthetic","GDP(alpha=3,eta=1)","two-phase-MMALA(L=4,target=0.7,adapt=burnin,fixed=post,SigmaPX=1)","2.8769","8.9809",NA,"0.0619","INCONCLUSIVE","","results/experiments/EXP-TWOPHASE-LAMBDA-SMOKE-20260421B/experiment_report.md","results/reports/meta/20260421__EXP-TWOPHASE-LAMBDA-SMOKE-20260421B__SYNTHETIC__GDP-a3-eta1__FULL-MMALA__INCONCLUSIVE.json","EXP-TWOPHASE-LAMBDA-SMOKE-20260421B","experiment","EXP-TWOPHASE-LAMBDA-SMOKE-20260421B","",""
